"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1192","Проверка изменения статуса заявки (параметризованный) Проверка изменения статуса заявки → Выполняется","","Mon Sep 22 13:27:56 UTC 2025","failed","Mon Sep 22 13:27:57 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","changeOrderStatus"
"","3132","Выполнение запроса на получение данных по номенклатуре","","Mon Sep 22 13:27:43 UTC 2025","passed","Mon Sep 22 13:27:47 UTC 2025","","oneC.GetDataFromOneCTest","oneC.GetDataFromOneCTest","getNomenclatureData"
"","520","Выполнение запроса на получение данных по помещениям","","Mon Sep 22 13:27:47 UTC 2025","passed","Mon Sep 22 13:27:47 UTC 2025","","oneC.GetDataFromOneCTest","oneC.GetDataFromOneCTest","getRentalObjectData"
"","548","Выполнение запроса на получение данных по оборудованиям","","Mon Sep 22 13:27:48 UTC 2025","passed","Mon Sep 22 13:27:48 UTC 2025","","oneC.GetDataFromOneCTest","oneC.GetDataFromOneCTest","getEquipmentData"
"","3652","Проверка получения номера технической заявки из 1С","","Mon Sep 22 13:27:48 UTC 2025","failed","Mon Sep 22 13:27:52 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","checkOrderedOneCNumber"
"","511","Выполнение запроса на получение данных по контрагентам","","Mon Sep 22 13:27:47 UTC 2025","passed","Mon Sep 22 13:27:48 UTC 2025","","oneC.GetDataFromOneCTest","oneC.GetDataFromOneCTest","getCounterpartyData"
"","1213","Проверка изменения статуса заявки (параметризованный) Проверка изменения статуса заявки → Отклонена","","Mon Sep 22 13:27:53 UTC 2025","failed","Mon Sep 22 13:27:54 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","changeOrderStatus"
"","1208","Проверка изменения статуса заявки (параметризованный) Проверка изменения статуса заявки → Утверждена","","Mon Sep 22 13:27:54 UTC 2025","failed","Mon Sep 22 13:27:56 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","changeOrderStatus"
"","1237","Проверка изменения статуса заявки (параметризованный) Проверка изменения статуса заявки → На рассмотрении","","Mon Sep 22 13:27:52 UTC 2025","failed","Mon Sep 22 13:27:53 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","changeOrderStatus"
"","1232","Проверка изменения статуса заявки (параметризованный) Проверка изменения статуса заявки → Выполнена","","Mon Sep 22 13:27:57 UTC 2025","failed","Mon Sep 22 13:27:58 UTC 2025","","oneC.CheckDataFromOneCTest","oneC.CheckDataFromOneCTest","changeOrderStatus"
